iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
14010,635.04,0.0453,3897.70,4532.74
14011,635.83,0.0454,3902.22,4538.04
14012,637.19,0.0455,3910.26,4547.45
14013,637.98,0.0455,3914.82,4552.81
14014,638.77,0.0456,3919.35,4558.12
14015,639.55,0.0456,3923.77,4563.32
14016,640.93,0.0457,3931.94,4572.88
14017,641.72,0.0458,3936.43,4578.15
14018,642.50,0.0458,3940.91,4583.41
14019,643.27,0.0459,3945.32,4588.59
14020,644.66,0.0460,3953.51,4598.18
14021,645.44,0.0460,3957.92,4603.36
14022,646.20,0.0461,3962.29,4608.49
14023,646.96,0.0461,3966.63,4613.59
14024,648.32,0.0462,3974.64,4622.97
14025,649.12,0.0463,3979.18,4628.29
14026,649.89,0.0463,3983.55,4633.43
14027,650.66,0.0464,3987.94,4638.59
14028,652.04,0.0465,3996.07,4648.10
14029,652.82,0.0465,4000.56,4653.39
